section,token,pos,count
body,Lucases,NNPS,7
body,Lydia,NNP,133
body,M.,NNP,1
body,M//A,UNK,1
body,MA,UNK,1
body,Make,VB,1
body,Mamma,NNP,1
body,Mansfield,NNP,1
body,Many,JJ,2
body,Maria,NNP,6
body,Mary,NNP,18
body,Matlock,NNP,2
body,May,MD,2
body,May,NNP,2
body,Mb,NN,1
body,Me,PRP,1
body,Memoir,NN,1
body,Meryton,NN,2
body,Meryton,NNP,24
body,Michaelmas,NNP,1
body,Miller,NNP,1
body,Miss,NNP,92
body,Monday,NNP,3
body,Money,NN,1
body,More,RBR,1
body,Most,JJS,2
body,Mount,NNP,2
body,Mr,NN,2
body,Mr,NNP,188
body,Mr.,NNP,84
body,Mrs,NNP,119
body,Mrs.,NNP,49
body,Much,RB,2
body,Must,MD,1
body,My,PRP$,61
body,NON-RECEIPT,UNK,1
body,NOT,UNK,2
body,NOTICES,UNK,1
body,NOVELS,UNK,1
body,NOrTHanGer,NN,1
body,Nature,NNP,1
body,Nay,NNP,1
body,Nearly,RB,1
body,Neither,CC,1
body,Neither,DT,2
body,Netherfield,NNP,24
body,Never,RB,5
body,Newcastle,NNP,4
body,Next,JJ,1
body,Nichols,NNP,1
body,Niece,NNP,1
body,No,DT,22
body,No,UH,2
body,Nobody,NN,1
body,None,NN,1
body,Nor,CC,5
body,North,NNP,4
body,Not,RB,19
body,Nothing,NN,6
body,November,NNP,3
body,Now,RB,7
body,OF,UNK,4
body,ON,UNK,1
body,OR,UNK,1
body,OVERDUE,UNK,3
body,Oakham,NNP,1
body,Obstinate,NNP,1
body,Of,IN,6
body,Office,NNP,1
body,Oh,UH,56
body,On,IN,21
body,One,CD,9
body,Only,RB,4
body,Or,CC,1
body,Other,JJ,1
body,Our,PRP$,5
body,Oxford,NNP,1
body,P.,FW,1
body,PREJUDICE,UNK,1
body,PRIDE,UNK,1
body,Painful,JJ,1
body,Park,NNP,4
body,Parsonage,NNP,1
body,Peak,NNP,1
body,Pemberley,NNP,42
body,Pen,NN,1
body,People,NNS,1
body,Perhaps,RB,9
body,Persuaded,VBN,1
body,Persuasion,NN,1
body,Philips,NN,4
body,Philips,NNP,7
